Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00        7     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_data() const
  0.00      0.00     0.00        6     0.00     0.00  gr::Buffer** std::__niter_base<gr::Buffer**>(gr::Buffer**)
  0.00      0.00     0.00        6     0.00     0.00  std::remove_reference<gr::Context*&>::type&& std::move<gr::Context*&>(gr::Context*&)
  0.00      0.00     0.00        5     0.00     0.00  std::vector<gr::Buffer*, std::allocator<gr::Buffer*> >::size() const
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::new_allocator<gr::Context>::~new_allocator()
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<gr::Buffer**, std::vector<gr::Buffer*, std::allocator<gr::Buffer*> > >::__normal_iterator(gr::Buffer** const&)
  0.00      0.00     0.00        4     0.00     0.00  __gnu_cxx::__normal_iterator<gr::Buffer**, std::vector<gr::Buffer*, std::allocator<gr::Buffer*> > >::base() const
  0.00      0.00     0.00        4     0.00     0.00  std::move_iterator<gr::Buffer**>::base() const
  0.00      0.00     0.00        4     0.00     0.00  std::allocator<gr::Context>::~allocator()
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy_aux<true>::__destroy<gr::VBO**>(gr::VBO**, gr::VBO**)
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<gr::VBO*, std::allocator<gr::VBO*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::_Vector_base<gr::Buffer*, std::allocator<gr::Buffer*> >::_M_get_Tp_allocator()
  0.00      0.00     0.00        4     0.00     0.00  std::__shared_ptr<gr::Context, (__gnu_cxx::_Lock_policy)2>::~__shared_ptr()
  0.00      0.00     0.00        4     0.00     0.00  std::move_iterator<gr::Buffer**>::move_iterator(gr::Buffer**)
  0.00      0.00     0.00        4     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::~__shared_count()
  0.00      0.00     0.00        4     0.00     0.00  decltype (__miter_base(({parm#1}.base)())) std::__miter_base<gr::Buffer**>(std::move_iterator<gr::Buffer**>)
  0.00      0.00     0.00        4     0.00     0.00  gr::Buffer** std::__miter_base<gr::Buffer**>(gr::Buffer**)
  0.00      0.00     0.00        4     0.00     0.00  std::move_iterator<gr::Buffer**> std::__make_move_if_noexcept_iterator<gr::Buffer*, std::move_iterator<gr::Buffer**> >(gr::Buffer**)
  0.00      0.00     0.00        4     0.00     0.00  gr::Buffer*&& std::forward<gr::Buffer*>(std::remove_reference<gr::Buffer*>::type&)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<gr::VBO**>(gr::VBO**, gr::VBO**)
  0.00      0.00     0.00        4     0.00     0.00  void std::_Destroy<gr::VBO**, gr::VBO*>(gr::VBO**, gr::VBO**, std::allocator<gr::VBO*>&)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<gr::Context>::new_allocator(__gnu_cxx::new_allocator<gr::Context> const&)
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__aligned_buffer<gr::Context>::_M_ptr()
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::__aligned_buffer<gr::Context>::_M_addr()
  0.00      0.00     0.00        3     0.00     0.00  __gnu_cxx::new_allocator<gr::Buffer*>::max_size() const
  0.00      0.00     0.00        3     0.00     0.00  std::allocator<gr::Context>::allocator(std::allocator<gr::Context> const&)
  0.00      0.00     0.00        3     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::_M_swap(std::__shared_count<(__gnu_cxx::_Lock_policy)2>&)
  0.00      0.00     0.00        3     0.00     0.00  std::__shared_count<(__gnu_cxx::_Lock_policy)2>::__shared_count()
  0.00      0.00     0.00        3     0.00     0.00  std::_Sp_counted_ptr_inplace<gr::Context, std::allocator<gr::Context>, (__gnu_cxx::_Lock_policy)2>::_M_ptr()
  0.00      0.00     0.00        3     0.00     0.00  operator new(unsigned long, void*)
  0.00      0.00     0.00        2     0.00     0.00  __gthread_active_p()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<gm::vector<float, 3> >::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<gm::vector<float, 3> >::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<gr::VBO*>::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<gr::VBO*>::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<gr::Context, std::allocator<gr::Context>, (__gnu_cxx::_Lock_policy)2> >::new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<std::_Sp_counted_ptr_inplace<gr::Context, std::allocator<gr::Context>, (__gnu_cxx::_Lock_policy)2> >::~new_allocator()
  0.00      0.00     0.00        2     0.00     0.00  bool __gnu_cxx::__is_null_pointer<char const>(char const*)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<gm::vector<unsigned int, 3> const*, std::vector<gm::vector<unsigned int, 3>, std::allocator<gm::vector<unsigned int, 3> > > >::__normal_iterator(gm::vector<unsigned int, 3> const* const&)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__exchange_and_add_single(int*, int)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__exchange_and_add_dispatch(int*, int)
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::new_allocator<char>::max_size() const
  0.00      0.00     0.00        2     0.00     0.00  __gnu_cxx::__normal_iterator<gm::vector<unsigned int, 3> const*, std::vector<gm::vector<unsigned int, 3>, std::allocator<gm::vector<unsigned int, 3> > > >::base() const
  0.00      0.00     0.00        2     0.00     0.00  std::_Vector_base<gr::Buffer*, std::allocator<gr::Buffer*> >::_M_get_Tp_allocator() const
  0.00      0.00     0.00        2     0.00     0.00  std::__shared_ptr<gr::Context, (__gnu_cxx::_Lock_policy)2>::get() const
  0.00      0.00     0.00        2     0.00     0.00  std::__shared_ptr_access<gr::Context, (__gnu_cxx::_Lock_policy)2, false, false>::_M_get() const
  0.00      0.00     0.00        2     0.00     0.00  std::__shared_ptr_access<gr::Context, (__gnu_cxx::_Lock_policy)2, false, false>::operator->() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<gr::VBO*, std::allocator<gr::VBO*> >::size() const
  0.00      0.00     0.00        2     0.00     0.00  std::vector<gr::Buffer*, std::allocator<gr::Buffer*> >::max_size() const
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_is_local() const
  0.00      0.00     0.00        2     0.00     0.00  std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >::_M_local_data() const
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<gm::vector<float, 3> >::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<gm::vector<float, 3> >::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<gr::VBO*>::allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<gr::VBO*>::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<gr::Context, std::allocator<gr::Context>, (__gnu_cxx::_Lock_policy)2> >::allocator<gr::Context>(std::allocator<gr::Context> const&)
  0.00      0.00     0.00        2     0.00     0.00  std::allocator<std::_Sp_counted_ptr_inplace<gr::Context, std::allocator<gr::Context>, (__gnu_cxx::_Lock_policy)2> >::~allocator()
  0.00      0.00     0.00        2     0.00     0.00  std::shared_ptr<gr::Context>::~shared_ptr()
